musym,muname,mukind,mustatus,muacres,mapunitlfw_l,mapunitlfw_r,mapunitlfw_h,mapunitpfa_l,mapunitpfa_r,mapunitpfa_h,farmlndcl,muhelcl,muwathelcl,muwndhelcl,interpfocus,invesintens,iacornsr,nhiforsoigrp,nhspiagr,vtsepticsyscl,mucertstat,lkey,mukey
20,"Burnswick sandy clay loam, 1 to 5 percent slopes.",Consociation,,2719,,,,,,,Not prime farmland,,,,,Order 3,,,,,,10296,57978
105,"Sheppard loamy sand, 1 to 15 percent slopes MLRA 35",Consociation,,890,,,,,,,Not prime farmland,,,,rangeland,Order 3,,,,,,10296,57979
47,"Joraibi clay loam, 0 to 2 percent slopes",Consociation,,55,,,,,,,Not prime farmland,,,,,Order 3,,,,,,10296,57980
67,"Nakai-Monue very fine sandy loams, 1 to 5 percent slopes",Complex,,9192,,,,,,,Not prime farmland,,,,,Order 3,,,,,,10296,57981
88,"Polacca clay loam, 0 to 3 percent slopes",Consociation,,27,,,,,,,Not prime farmland,,,,,Order 3,,,,,,10296,57982
28,"Doakum-Betonnie families complex, 1 to 5 percent slopes",Complex,,14218,,,,,,,Not prime farmland,,,,,Order 3,,,,,,10296,57983
114,"Sparank-San Mateo-Zia complex, 0 to 3 percent slopes",Association,,14366,,,,,,,Not prime farmland,,,,,Order 3,,,,,,10296,57984
110,"Skyvillage-Rock outcrop complex, 2 to 15 percent slopes",Complex,,20417,,,,,,,Not prime farmland,,,,,Order 3,,,,,,10296,57985
78,"Parkelei family-Hosta complex, 3 to 8 percent slopes",Complex,,12786,,,,,,,Not prime farmland,,,,,Order 3,,,,,,10296,57986
120,"Toldohn-Vessilla-Rock outcrop complex, 8 to 35 percent slopes",Complex,,25388,,,,,,,Not prime farmland,,,,,Order 3,,,,,,10296,57987
130,"Verite-Manuelito complex, 1 to 8 percent slopes",Complex,,219414,,,,,,,Not prime farmland,,,,,Order 3,,,,,,10296,57988
54,"Manuelito-Klizhin family-Stozuni complex, 8 to 45 percent slopes",Complex,,8719,,,,,,,Not prime farmland,,,,,Order 3,,,,,,10296,57989
27,"Doakum family-Betonnie complex, 1 to 8 percent slopes",Complex,,40242,,,,,,,Not prime farmland,,,,,Order 3,,,,,,10296,57990
18,"Blancot family-Chafin complex, 2 to 6 percent slopes",Complex,,12866,,,,,,,Not prime farmland,,,,,Order 3,,,,,,10296,57992
42,"Iwela family-Nomrah-Vosburg complex, 1 to 40 percent slopes",Complex,,15860,,,,,,,Not prime farmland,,,,,Order 3,,,,,,10296,57993
102,"Rock outcrop-Vessilla complex, 35 to 70 percent slopes",Complex,,28111,,,,,,,Not prime farmland,,,,,Order 3,,,,,,10296,57994
4,Atlatl-Nizhoni family-Rock outcrop complex 15 to 30 percent slopes,Complex,,8384,,,,,,,Not prime farmland,,,,,Order 3,,,,,,10296,57995
125,"Umbarg-Millpaw families complex, 1 to 3 percent slopes",Complex,,7792,,,,,,,Not prime farmland,,,,,Order 3,,,,,,10296,57996
137,"Zia sandy loam, 1 to 5 percent slopes",Consociation,,76703,,,,,,,Not prime farmland,,,,Rangeland,Order 3,,,,,,10296,57997
2,"Aquima-Hawaikuh complex, 1 to 5 percent slopes",Complex,,42040,,,,,,,Not prime farmland,,,,Rangeland,Order 3,,,,,,10296,57998
80,"Penistaja family-Betonnie complex, 1 to 10 percent slopes",Complex,,188801,,,,,,,Not prime farmland,,,,,Order 3,,,,,,10296,57999
