musym,muname,mukind,mustatus,muacres,mapunitlfw_l,mapunitlfw_r,mapunitlfw_h,mapunitpfa_l,mapunitpfa_r,mapunitpfa_h,farmlndcl,muhelcl,muwathelcl,muwndhelcl,interpfocus,invesintens,iacornsr,nhiforsoigrp,nhspiagr,vtsepticsyscl,mucertstat,lkey,mukey
Aa,"Alto clay loam, 0 to 1 percent slopes",Consociation,,3889,,,,,,,All areas are prime farmland,,,,woodland,Order 2,,,,,,15058,575302
Ab,"Alto loam, 0 to 1 percent slopes",Consociation,,445,,,,,,,All areas are prime farmland,,,,woodland,Order 2,,,,,,15058,575303
Ac,"Attoyac fine sandy loam, 0 to 1 percent slopes",Consociation,,2247,,,,,,,All areas are prime farmland,,,,woodland,Order 2,,,,,,15058,575304
Ba,"Mattex clay loam, 0 to 1 percent slopes, frequently flooded",Consociation,,30017,,,,,,,Not prime farmland,,,,woodland,Order 2,,,,,,15058,575305
Bb,Mantachie fine sandy loam,Consociation,,6371,,,,,,,Not prime farmland,,,,,,,,,,,15058,575306
Bc,"Sacul fine sandy loam, 1 to 3 percent slopes",Consociation,,3574,,,,,,,Not prime farmland,,,,woodland,Order 2,,,,,,15058,575307
Bd,"Sacul fine sandy loam, 3 to 8 percent slopes",Consociation,,38686,,,,,,,Not prime farmland,,,,woodland,Order 2,,,,,,15058,575308
Be,"Sacul fine sandy loam, sloping, eroded",Consociation,,6366,,,,,,,Not prime farmland,,,,,,,,,,,15058,575309
Bf,"Sacul fine sandy loam, strongly sloping",Consociation,,46400,,,,,,,Not prime farmland,,,,,,,,,,,15058,575310
Bg,"Sacul fine sandy loam, strongly sloping, eroded",Consociation,,5052,,,,,,,Not prime farmland,,,,,,,,,,,15058,575311
Bh,"Sacul sandy clay loam, strongly sloping, severely eroded",Consociation,,244,,,,,,,Not prime farmland,,,,,,,,,,,15058,575312
Bk,"Bowie fine sandy loam, nearly level",Consociation,,1284,,,,,,,All areas are prime farmland,,,,,,,,,,,15058,575313
Bm,"Bowie fine sandy loam, 1 to 3 percent slopes",Consociation,,16977,,,,,,,All areas are prime farmland,,,,pastureland,Order 2,,,,,,15058,575314
Bn,"Bowie fine sandy loam, 3 to 8 percent slopes",Consociation,,40489,,,,,,,Not prime farmland,,,,woodland,Order 2,,,,,,15058,575315
Bo,"Bowie fine sandy loam, sloping, eroded",Consociation,,1787,,,,,,,Not prime farmland,,,,,,,,,,,15058,575316
