musym,muname,mukind,mustatus,muacres,mapunitlfw_l,mapunitlfw_r,mapunitlfw_h,mapunitpfa_l,mapunitpfa_r,mapunitpfa_h,farmlndcl,muhelcl,muwathelcl,muwndhelcl,interpfocus,invesintens,iacornsr,nhiforsoigrp,nhspiagr,vtsepticsyscl,mucertstat,lkey,mukey
FcF2,"Fallbrook rocky sandy loam, shallow, 15 to 50 percent s lopes, eroded",Complex,,13227,,,,,,,Not prime farmland,,,,,,,,,,,14137,458237
FfC2,"Fallbrook fine sandy loam, 2 to 8 percent slopes, erode d",Consociation,,4115,,,,,,,Farmland of statewide importance,,,,,,,,,,,14137,458238
FkD2,"Fallbrook fine sandy loam, shallow, 8 to 15 percent slo pes, eroded",Consociation,,4037,,,,,,,Not prime farmland,,,,,,,,,,,14137,458239
FwE2,"Friant fine sandy loam, 5 to 25 percent slopes, eroded",Consociation,,2701,,,,,,,Not prime farmland,,,,,,,,,,,14137,458240
FyE2,"Friant rocky fine sandy loam, 8 to 25 percent slopes, e roded",Complex,,5708,,,,,,,Not prime farmland,,,,,,,,,,,14137,458241
FyF2,"Friant rocky fine sandy loam, 25 to 50 percent slopes, eroded",Complex,,30532,,,,,,,Not prime farmland,,,,,,,,,,,14137,458242
GaA,"Garretson very fine sandy loam, 0 to 2 percent slopes",Consociation,,447,,,,,,,Prime farmland if irrigated,,,,,,,,,,,14137,458243
GaC,"Garretson very fine sandy loam, 2 to 8 percent slopes",Consociation,,2046,,,,,,,Prime farmland if irrigated,,,,,,,,,,,14137,458244
GaD2,"Garretson very fine sandy loam, 8 to 15 percent slopes, eroded",Consociation,,169,,,,,,,Not prime farmland,,,,,,,,,,,14137,458245
GdA,"Garretson gravelly very fine sandy loam, 0 to 2 percent slopes",Consociation,,305,,,,,,,Prime farmland if irrigated,,,,,,,,,,,14137,458246
GdC,"Garretson gravelly very fine sandy loam, 2 to 8 percent slopes",Consociation,,7714,,,,,,,Prime farmland if irrigated,,,,,,,,,,,14137,458247
GdD2,"Garretson gravelly very fine sandy loam, 8 to 15 percen t slopes, eroded",Consociation,,304,,,,,,,Not prime farmland,,,,,,,,,,,14137,458248
GeG3,"Gaviota rocky fine sandy loam, 25 to 75 percent slopes, severely eroded",Complex,,159,,,,,,,Not prime farmland,,,,,,,,,,,14137,458249
GfF2,"Gaviota very fine sandy loam, 15 to 50 percent slopes, eroded",Consociation,,439,,,,,,,Not prime farmland,,,,,,,,,,,14137,458250
GgF2,"Gaviota rocky very fine sandy loam, 25 to 50 percent sl opes, eroded",Consociation,,192,,,,,,,Not prime farmland,,,,,,,,,,,14137,458251
GhC,"Gorgonio loamy sand, 0 to 8 percent slopes",Consociation,,3417,,,,,,,Farmland of statewide importance,,,,,,,,,,,14137,458252
GhD,"Gorgonio loamy sand, 8 to 15 percent slopes",Consociation,,1219,,,,,,,Farmland of statewide importance,,,,,,,,,,,14137,458253
GkD,"Gorgonio loamy sand, channeled, 2 to 15 percent slopes",Complex,,579,,,,,,,Not prime farmland,,,,,,,,,,,14137,458254
GlC,"Gorgonio loamy sand, deep, 2 to 8 percent slopes",Consociation,,2777,,,,,,,Prime farmland if irrigated,,,,,,,,,,,14137,458255
GmD,"Gorgonio gravelly loamy fine sand, 2 to 15 percent slop es",Consociation,,8225,,,,,,,Not prime farmland,,,,,,,,,,,14137,458256
GnD,"Gorgonio cobbly loamy fine sand, 2 to 15 percent slopes",Consociation,,2111,,,,,,,Not prime farmland,,,,,,,,,,,14137,458257
GoB,"Grangeville loamy fine sand, drained, 0 to 5 percent sl opes",Consociation,,3272,,,,,,,Prime farmland if irrigated and drained,,,,,,,,,,,14137,458258
GpB,"Grangeville sandy loam, drained, saline-alkali, 0 to 5 percent slopes",Consociation,,621,,,,,,,Farmland of statewide importance,,,,,,,,,,,14137,458259
GrB,"Grangeville sandy loam, sandy substratum, drained, 0 to 5 percent slopes",Consociation,,733,,,,,,,Farmland of statewide importance,,,,,,,,,,,14137,458260
GsB,"Grangeville sandy loam, sandy substratum, drained, sali ne-alkali , 0 to 5 percent slopes",Consociation,,859,,,,,,,Farmland of statewide importance,,,,,,,,,,,14137,458261
GtA,"Grangeville fine sandy loam, drained, 0 to 2 percent sl opes",Consociation,,3836,,,,,,,Prime farmland if irrigated and drained,,,,,,,,,,,14137,458262
GtD,"Grangeville fine sandy loam, drained, 5 to 15 percent s lopes",Consociation,,120,,,,,,,Not prime farmland,,,,,,,,,,,14137,458263
GuB,"Grangeville fine sandy loam, poorly drained, saline-alk ali, 0 to 5 percent slopes",Consociation,,2373,,,,,,,Farmland of statewide importance,,,,,,,,,,,14137,458264
GvB,"Grangeville fine sandy loam, saline-alkali, 0 to 5 perc ent slopes",Consociation,,3069,,,,,,,Farmland of statewide importance,,,,,,,,,,,14137,458265
GwA,"Grangeville fine sandy loam, loamy substratum, drained, 0 to 2 percent slopes",Consociation,,726,,,,,,,Prime farmland if irrigated and drained,,,,,,,,,,,14137,458266
GxA,"Grangeville fine sandy loam, loamy substratum, drained, saline-a lkali, 0 to 2 percent slopes",Consociation,,877,,,,,,,Farmland of statewide importance,,,,,,,,,,,14137,458267
GyA,"Greenfield sandy loam, 0 to 2 percent slopes",Consociation,,8949,,,,,,,Prime farmland if irrigated,,,,,,,,,,,14137,458268
GyC2,"Greenfield sandy loam, 2 to 8 percent slopes, eroded",Consociation,,23194,,,,,,,Prime farmland if irrigated,,,,,,,,,,,14137,458269
GyD2,"Greenfield sandy loam, 8 to 15 percent slopes, eroded",Consociation,,3809,,,,,,,Farmland of statewide importance,,,,,,,,,,,14137,458270
GyE2,"Greenfield sandy loam, 15 to 25 percent slopes, eroded",Consociation,,804,,,,,,,Not prime farmland,,,,,,,,,,,14137,458271
GzG,Gullied land,Consociation,,15039,,,,,,,Not prime farmland,,,,,,,,,,,14137,458272
HaC,"Hanford loamy fine sand, 0 to 8 percent slopes",Consociation,,897,,,,,,,Prime farmland if irrigated,,,,,,,,,,,14137,458273
HcA,"Hanford coarse sandy loam, 0 to 2 percent slopes",Consociation,,2958,,,,,,,Prime farmland if irrigated,,,,,,,,,,,14137,458274
HcC,"Hanford coarse sandy loam, 2 to 8 percent slopes",Consociation,,40367,,,,,,,Prime farmland if irrigated,,,,,,,,,,,14137,458275
HcD2,"Hanford coarse sandy loam, 8 to 15 percent slopes, erod ed",Consociation,,10044,,,,,,,Farmland of statewide importance,,,,,,,,,,,14137,458276
HdD2,"Hanford cobbly coarse sandy loam, 2 to 15 percent slope s, eroded",Consociation,,2348,,,,,,,Not prime farmland,,,,,,,,,,,14137,458277
HeC2,"Hanford coarse sandy loam, deep, 2 to 8 percent slopes, eroded",Consociation,,437,,,,,,,Farmland of statewide importance,,,,,,,,,,,14137,458278
HfD,"Hanford sandy loam, 2 to 15 percent slopes",Consociation,,1002,,,,,,,Not prime farmland,,,,,,,,,,,14137,458279
HgA,"Hanford fine sandy loam, 0 to 2 percent slopes",Consociation,,4413,,,,,,,Prime farmland if irrigated,,,,,,,,,,,14137,458280
HhA2,"Hilmar loamy sand, 0 to 2 percent slopes, eroded",Consociation,,1578,,,,,,,Prime farmland if irrigated,,,,,,,,,,,14137,458281
HlA,"Hilmar loamy very fine sand, 0 to 2 percent slopes",Consociation,,1532,,,,,,,Prime farmland if irrigated,,,,,,,,,,,14137,458282
HlC,"Hilmar loamy very fine sand, 2 to 8 percent slopes",Consociation,,276,,,,,,,Prime farmland if irrigated,,,,,,,,,,,14137,458283
HnC,"Honcut sandy loam, 2 to 8 percent slopes",Consociation,,1439,,,,,,,Prime farmland if irrigated,,,,,,,,,,,14137,458284
HnD2,"Honcut sandy loam, 8 to 15 percent slopes, eroded",Consociation,,387,,,,,,,Farmland of statewide importance,,,,,,,,,,,14137,458285
HoE,"Honcut cobbly sandy loam, 2 to 25 percent slopes",Consociation,,149,,,,,,,Not prime farmland,,,,,,,,,,,14137,458286
HuC2,"Honcut loam, 2 to 8 percent slopes, eroded",Consociation,,1009,,,,,,,Prime farmland if irrigated,,,,,,,,,,,14137,458287
LaC,"Las Posas loam, 2 to 8 percent slopes",Consociation,,3308,,,,,,,Farmland of statewide importance,,,,,,,,,,,14137,458288
LaC2,"Las Posas loam, 5 to 8 percent slopes, eroded",Consociation,,383,,,,,,,Farmland of statewide importance,,,,,,,,,,,14137,458289
LaD2,"Las Posas loam, 8 to 15 percent slopes, eroded",Consociation,,3331,,,,,,,Not prime farmland,,,,,,,,,,,14137,458290
LaE3,"Las Posas loam, 8 to 25 percent slopes, severely eroded",Consociation,,675,,,,,,,Not prime farmland,,,,,,,,,,,14137,458291
LcD2,"Las Posas stony loam, 8 to 15 percent slopes, eroded",Consociation,,196,,,,,,,Not prime farmland,,,,,,,,,,,14137,458292
LkD2,"Las Posas rocky loam, 8 to 15 percent slopes, eroded",Complex,,541,,,,,,,Not prime farmland,,,,,,,,,,,14137,458293
LkF3,"Las Posas rocky loam, 15 to 50 percent slopes, severely eroded",Complex,,9133,,,,,,,Not prime farmland,,,,,,,,,,,14137,458294
LoF2,"Lodo gravelly loam, 15 to 50 percent slopes, eroded",Consociation,,2488,,,,,,,Not prime farmland,,,,,,,,,,,14137,458295
LpE2,"Lodo rocky loam, 8 to 25 percent slopes, eroded",Complex,,5128,,,,,,,Not prime farmland,,,,,,,,,,,14137,458296
LpF2,"Lodo rocky loam, 25 to 50 percent slopes, eroded",Consociation,,28567,,,,,,,Not prime farmland,,,,,,,,,,,14137,458297
MaA,"Madera fine sandy loam, 0 to 2 percent slopes",Consociation,,855,,,,,,,Farmland of statewide importance,,,,,,,,,,,14137,458298
MaB2,"Madera fine sandy loam, 2 to 5 percent slopes, eroded",Consociation,,1122,,,,,,,Farmland of statewide importance,,,,,,,,,,,14137,458299
MaD2,"Madera fine sandy loam, 5 to 15 percent slopes, eroded",Consociation,,392,,,,,,,Not prime farmland,,,,,,,,,,,14137,458300
MbC2,"Madera fine sandy loam, shallow, 2 to 8 percent slopes, eroded",Consociation,,1122,,,,,,,Not prime farmland,,,,,,,,,,,14137,458301
MdC,"Metz loamy sand, 2 to 8 percent slopes",Consociation,,591,,,,,,,Prime farmland if irrigated,,,,,,,,,,,14137,458302
MeD,"Metz loamy sand, channeled, 0 to 15 percent slopes",Complex,,1640,,,,,,,Not prime farmland,,,,,,,,,,,14137,458303
MfA,"Metz loamy fine sand, 0 to 2 percent slopes, shorter FFS, MLRA 19",Consociation,,770,,,,,,,Prime farmland if irrigated,,,,,,,,,,,14137,458304
MgB,"Metz loamy fine sand, gravelly sand substratum, 0 to 5 percent slopes",Consociation,,1833,,,,,,,Not prime farmland,,,,,,,,,,,14137,458305
MhB,"Metz loamy fine sand, sandy loam substratum, 0 to 5 per cent slopes",Consociation,,975,,,,,,,Prime farmland if irrigated,,,,,,,,,,,14137,458306
MlD,"Metz gravelly sandy loam, 2 to 15 percent slopes",Consociation,,1353,,,,,,,Farmland of statewide importance,,,,,,,,,,,14137,458307
MmB,"Monserate sandy loam, 0 to 5 percent slopes",Consociation,,11202,,,,,,,Farmland of statewide importance,,,,,,,,,,,14137,458308
MmC2,"Monserate sandy loam, 5 to 8 percent slopes, eroded",Consociation,,6856,,,,,,,Farmland of statewide importance,,,,,,,,,,,14137,458309
MmD2,"Monserate sandy loam, 8 to 15 percent slopes, eroded",Consociation,,3872,,,,,,,Farmland of statewide importance,,,,,,,,,,,14137,458310
MmE3,"Monserate sandy loam, 15 to 25 percent slopes, severely eroded",Consociation,,878,,,,,,,Not prime farmland,,,,,,,,,,,14137,458311
MnD2,"Monserate sandy loam, shallow, 5 to 15 percent slopes, eroded",Consociation,,2754,,,,,,,Not prime farmland,,,,,,,,,,,14137,458312
MnE3,"Monserate sandy loam, shallow, 15 to 25 percent slopes, severely eroded",Consociation,,1546,,,,,,,Not prime farmland,,,,,,,,,,,14137,458313
MoC,"Mottsville loamy sand, 2 to 8 percent slopes",Consociation,,4568,,,,,,,Prime farmland if irrigated,,,,,,,,,,,14137,458314
MoD,"Mottsville loamy sand, 8 to 15 percent slopes",Consociation,,3435,,,,,,,Farmland of statewide importance,,,,,,,,,,,14137,458315
MrE,"Mottsville cobbly loamy sand, 8 to 25 percent slopes",Consociation,,872,,,,,,,Not prime farmland,,,,,,,,,,,14137,458316
MsC,"Mottsville sandy loam, 2 to 8 percent slopes",Consociation,,4687,,,,,,,Prime farmland if irrigated,,,,,,,,,,,14137,458317
MsD,"Mottsville sandy loam, 8 to 15 percent slopes",Consociation,,2991,,,,,,,Prime farmland if irrigated,,,,,,,,,,,14137,458318
MtE2,"Mottsville cobbly sandy loam, 8 to 25 percent slopes, e roded",Consociation,,1265,,,,,,,Not prime farmland,,,,,,,,,,,14137,458319
MuE,"Murrieta stony clay loam, 2 to 25 percent slopes",Consociation,,2184,,,,,,,Not prime farmland,,,,,,,,,,,14137,458320
OgD,"Oak Glen gravelly sandy loam, 8 to 15 percent slopes",Consociation,,1211,,,,,,,Farmland of statewide importance,,,,,,,,,,,14137,458321
OgE,"Oak Glen gravelly sandy loam, 15 to 25 percent slopes",Consociation,,828,,,,,,,Not prime farmland,,,,,,,,,,,14137,458322
OkD,"Oak Glen fine sandy loam, 5 to 15 percent slopes",Consociation,,818,,,,,,,Prime farmland if irrigated,,,,,,,,,,,14137,458323
PaA,"Pachappa fine sandy loam, 0 to 2 percent slopes",Consociation,,3396,,,,,,,Prime farmland if irrigated,,,,,,,,,,,14137,458324
PaC2,"Pachappa fine sandy loam, 2 to 8 percent slopes, eroded",Consociation,,2630,,,,,,,Prime farmland if irrigated,,,,,,,,,,,14137,458325
PeC,"Perkins loam, 2 to 8 percent slopes",Consociation,,871,,,,,,,Prime farmland if irrigated,,,,,,,,,,,14137,458326
PgB,"Perkins gravelly loam, 2 to 5 percent slopes",Consociation,,661,,,,,,,Prime farmland if irrigated,,,,,,,,,,,14137,458327
PgC,"Perkins gravelly loam, 5 to 8 percent slopes",Consociation,,441,,,,,,,Prime farmland if irrigated,,,,,,,,,,,14137,458328
PgD2,"Perkins gravelly loam, 8 to 15 percent slopes, eroded",Consociation,,426,,,,,,,Not prime farmland,,,,,,,,,,,14137,458329
PlB,"Placentia fine sandy loam, 0 to 5 percent slopes",Consociation,,3228,,,,,,,Not prime farmland,,,,,,,,,,,14137,458330
PlD,"Placentia fine sandy loam, 5 to 15 percent slopes",Consociation,,2750,,,,,,,Not prime farmland,,,,,,,,,,,14137,458331
PmE,"Placentia cobbly fine sandy loam, 8 to 25 percent slope s",Consociation,,255,,,,,,,Not prime farmland,,,,,,,,,,,14137,458332
PoC,"Porterville clay, 0 to 8 percent slopes",Consociation,,939,,,,,,,Prime farmland if irrigated,,,,,,,,,,,14137,458333
PrD,"Porterville cobbly clay, 2 to 15 percent slopes",Consociation,,873,,,,,,,Not prime farmland,,,,,,,,,,,14137,458334
PsC,"Porterville clay, moderately deep, 2 to 8 percent slope s",Consociation,,766,,,,,,,Farmland of statewide importance,,,,,,,,,,,14137,458335
PtB,"Porterville clay, moderately deep, slightly saline-alka li, 0 to 5 percent slopes",Consociation,,1751,,,,,,,Farmland of statewide importance,,,,,,,,,,,14137,458336
PvD2,"Porterville gravelly clay, moderately deep, 2 to 15 per cent slopes, eroded",Consociation,,298,,,,,,,Farmland of statewide importance,,,,,,,,,,,14137,458337
QU,Quarries,Consociation,,458,,,,,,,Not prime farmland,,,,,,,,,,,14137,458338
RaA,"Ramona sandy loam, 0 to 2 percent slopes, MLRA 19",Consociation,,5313,,,,,,,Prime farmland if irrigated,,,,,,,,,,,14137,458339
RaB2,"Ramona sandy loam, 2 to 5 percent slopes, eroded",Consociation,,14484,,,,,,,Prime farmland if irrigated,,,,,,,,,,,14137,458340
RaB3,"Ramona sandy loam, 0 to 5 percent slopes, severely erod ed",Consociation,,4363,,,,,,,Prime farmland if irrigated,,,,,,,,,,,14137,458341
RaC2,"Ramona sandy loam, 5 to 8 percent slopes, eroded",Consociation,,3088,,,,,,,Prime farmland if irrigated,,,,,,,,,,,14137,458342
RaC3,"Ramona sandy loam, 5 to 8 percent slopes, severely erod ed",Consociation,,1285,,,,,,,Prime farmland if irrigated,,,,,,,,,,,14137,458343
RaD2,"Ramona sandy loam, 8 to 15 percent slopes, eroded",Consociation,,2374,,,,,,,Not prime farmland,,,,,,,,,,,14137,458344
RaD3,"Ramona sandy loam, 8 to 15 percent slopes, severely ero ded",Consociation,,2933,,,,,,,Not prime farmland,,,,,,,,,,,14137,458345
RaE3,"Ramona sandy loam, 15 to 25 percent slopes, severely er oded",Consociation,,1650,,,,,,,Not prime farmland,,,,,,,,,,,14137,458346
RdD2,"Ramona sandy loam, moderately deep, 8 to 15 percent slo pes, eroded",Consociation,,660,,,,,,,Not prime farmland,,,,,,,,,,,14137,458347
RdE3,"Ramona sandy loam, moderately deep, 15 to 25 percent sl opes, severely eroded",Consociation,,291,,,,,,,Not prime farmland,,,,,,,,,,,14137,458348
ReC2,"Ramona very fine sandy loam, 0 to 8 percent slopes, ero ded",Consociation,,3170,,,,,,,Prime farmland if irrigated,,,,,,,,,,,14137,458349
RfC2,"Ramona very fine sandy loam, moderately deep, 0 to 8 pe rcent slopes, eroded",Consociation,,115,,,,,,,Farmland of statewide importance,,,,,,,,,,,14137,458350
RmE3,"Ramona and Buren sandy loams, 15 to 25 percent slopes, severely eroded",Undifferentiated group,,4741,,,,,,,Not prime farmland,,,,,,,,,,,14137,458351
RnD2,"Ramona and Buren loams, 5 to 15 percent slopes, eroded",Undifferentiated group,,478,,,,,,,Not prime farmland,,,,,,,,,,,14137,458352
RnE3,"Ramona and Buren loams, 5 to 25 percent slopes, severel y eroded",Undifferentiated group,,3229,,,,,,,Not prime farmland,,,,,,,,,,,14137,458353
RsC,Riverwash,Consociation,,9095,,,,,,,Not prime farmland,,,,,,,,,,,14137,458354
RtF,Rockland,Consociation,,49366,,,,,,,Not prime farmland,,,,,,,,,,,14137,458355
RuF,Rough broken land,Consociation,,15119,,,,,,,Not prime farmland,,,,,,,,,,,14137,458356
SdD,"San Emigdio sandy loam, channeled, 2 to 15 percent slop es",Complex,,758,,,,,,,Not prime farmland,,,,,,,,,,,14137,458357
SeA,"San Emigdio fine sandy loam, 0 to 2 percent slopes",Consociation,,7887,,,,,,,Prime farmland if irrigated,,,,,,,,,,,14137,458358
SeC2,"San Emigdio fine sandy loam, 2 to 8 percent slopes, ero ded",Consociation,,6844,,,,,,,Prime farmland if irrigated,,,,,,,,,,,14137,458359
SeD2,"San Emigdio fine sandy loam, 8 to 15 percent slopes, er oded",Consociation,,2206,,,,,,,Not prime farmland,,,,,,,,,,,14137,458360
SfA,"San Emigdio fine sandy loam, deep, 0 to 2 percent slope s",Consociation,,3516,,,,,,,Prime farmland if irrigated,,,,,,,,,,,14137,458361
SgA,"San Emigdio loam, 0 to 2 percent slopes",Consociation,,3471,,,,,,,Prime farmland if irrigated,,,,,,,,,,,14137,458362
SgC,"San Emigdio loam, 2 to 8 percent slopes",Consociation,,5068,,,,,,,Prime farmland if irrigated,,,,,,,,,,,14137,458363
SgD2,"San Emigdio loam, 8 to 15 percent slopes, eroded",Consociation,,734,,,,,,,Not prime farmland,,,,,,,,,,,14137,458364
SmE2,"San Timoteo loam, 8 to 25 percent slopes, eroded",Consociation,,3830,,,,,,,Not prime farmland,,,,,,,,,,,14137,458365
SmF2,"San Timoteo loam, 25 to 50 percent slopes, eroded",Consociation,,3208,,,,,,,Not prime farmland,,,,,,,,,,,14137,458366
SnD2,"Sheephead fine sandy loam, 8 to 15 percent slopes, erod ed",Consociation,,918,,,,,,,Not prime farmland,,,,,,,,,,,14137,458367
SpG2,"Sheephead rocky fine sandy loam, 15 to 75 percent slope s, eroded",Complex,,21272,,,,,,,Not prime farmland,,,,,,,,,,,14137,458368
SrE,"Soboba cobbly loamy sand, 2 to 25 percent slopes",Consociation,,1746,,,,,,,Not prime farmland,,,,,,,,,,,14137,458369
SsD,"Soboba stony loamy sand, 2 to 15 percent slopes",Consociation,,2874,,,,,,,Not prime farmland,,,,,,,,,,,14137,458370
StF2,"Soper loam, 15 to 35 percent slopes, eroded",Consociation,,229,,,,,,,Not prime farmland,,,,,,,,,,,14137,458371
SuF2,"Soper cobbly loam, 25 to 50 percent slopes, eroded",Consociation,,366,,,,,,,Not prime farmland,,,,,,,,,,,14137,458372
TaF2,"Temescal loam, 15 to 50 percent slopes, eroded",Consociation,,473,,,,,,,Not prime farmland,,,,,,,,,,,14137,458373
TbF2,"Temescal rocky loam, 15 to 50 percent slopes, eroded",Consociation,,15528,,,,,,,Not prime farmland,,,,,,,,,,,14137,458374
TeG,Terrace escarpments,Consociation,,27355,,,,,,,Not prime farmland,,,,,,,,,,,14137,458375
TfF2,"Tollhouse rocky coarse sandy loam, 8 to 50 percent slop es, eroded",Complex,,58996,,,,,,,Not prime farmland,,,,,,,,,,,14137,458376
ThD2,"Tollhouse sandy loam, 5 to 15 percent slopes, eroded",Consociation,,1236,,,,,,,Not prime farmland,,,,,,,,,,,14137,458377
ThE2,"Tollhouse sandy loam, 15 to 25 percent slopes, eroded",Consociation,,1466,,,,,,,Not prime farmland,,,,,,,,,,,14137,458378
Tp2,"Traver loamy fine sand, eroded",Consociation,,1235,,,,,,,Farmland of statewide importance,,,,,,,,,,,14137,458379
Tr2,"Traver loamy fine sand, saline-alkali, eroded",Consociation,,3738,,,,,,,Farmland of statewide importance,,,,,,,,,,,14137,458380
Ts,"Traver fine sandy loam, saline-alkali",Consociation,,1406,,,,,,,Farmland of statewide importance,,,,,,,,,,,14137,458381
Tt2,"Traver fine sandy loam, strongly saline-alkali, eroded",Consociation,,2871,,,,,,,Not prime farmland,,,,,,,,,,,14137,458382
TuB,"Tujunga loamy sand, 0 to 5 percent slopes",Consociation,,938,,,,,,,Not prime farmland,,,,,,,,,,,14137,458383
TvC,"Tujunga loamy sand, channeled, 0 to 8 percent slopes",Complex,,4734,,,,,,,Not prime farmland,,,,,,,,,,,14137,458384
TwC,"Tujunga gravelly loamy sand, 0 to 8 percent slopes",Consociation,,1497,,,,,,,Farmland of statewide importance,,,,,,,,,,,14137,458385
VaE3,"Vallecitos loam, 8 to 25 percent slopes, severely eroded",Consociation,,1170,,,,,,,Not prime farmland,,,,,,,,,,,14137,458386
VdF2,"Vallecitos rocky loam, 8 to 50 percent slopes, eroded",Complex,,2676,,,,,,,Not prime farmland,,,,,,,,,,,14137,458387
VeC2,"Vallecitos loam, thick solum variant, 2 to 8 percent slopes, eroded",Consociation,,787,,,,,,,Prime farmland if irrigated,,,,,,,,,,,14137,458388
VeD2,"Vallecitos loam, thick solum variant, 8 to 15 percent slopes, eroded",Consociation,,706,,,,,,,Not prime farmland,,,,,,,,,,,14137,458389
VeF2,"Vallecitos loam, thick solum variant, 15 to 50 percent slopes, eroded",Consociation,,500,,,,,,,Not prime farmland,,,,,,,,,,,14137,458390
VlC2,"Visalia sandy loam, 0 to 8 percent slopes, eroded",Consociation,,528,,,,,,,Prime farmland if irrigated and drained,,,,,,,,,,,14137,458391
